answerId,questionId,contentAnswer,isCorrect
1,1,0.51,1
2,1,0.051,0
3,1,51,0
4,1,510,0
5,2,341,0
6,2,340,0
7,2,34.1,0
8,2,3.41,1
9,3,9/100,0
10,3,9/10,1
11,3,9/100,0
12,3,9,0
13,4,578/1000,0
14,4,578/10,0
15,4,578/100,1
16,4,578,0
17,5,3.1,0
18,5,7.2,0
19,5,5.1,0
20,5,6.1,1
21,6,10.7,0
22,6,5.8,0
23,6,8.6,0
24,6,6.8,1
29,7,10,1
30,7,8,0
31,7,9,0
32,7,5,0
33,8,70,0
34,8,50,0
35,8,60,1
36,8,40,0
37,9,2.1,0
38,9,1.1,1
39,9,1.2,0
40,9,1,0
41,10,24,1
42,10,16,0
43,10,34,0
44,10,25,0
45,11,10,0
46,11,16,0
47,11,8,0
48,11,9,1
53,12,25,0
54,12,30,0
55,12,31,1
56,12,41,0
57,13,10,1
58,13,12,0
59,13,15,0
60,13,20,0
61,14,18,0
62,14,24,0
63,14,23,1
64,14,20,0
69,15,"200 دينار",0
70,15,"250 دينار ",1
71,15,"300 دينار",0
72,15,"350 دينار",0
73,16,"يومان ",0
74,16,"3 أيام",1
75,16,"4 أيام  ",0
76,16,"12 يومًا ",0
77,17,"180 دينار",0
78,17,"150 دينار",0
79,17,"100 دينار ",0
80,17,"120 دينار",1
81,18,"180 كم",0
82,18,"240 كم",1
83,18,"320 كم",0
84,18,"400 كم",0
85,19,"64 كتابًا",0
86,19,"80 كتابًا",0
87,19,"72 كتابًا",1
88,19,"90 كتابًا",0
89,20,"جبل أحد",0
90,20,"المدينة المنورة",0
91,20,"مكة المكرمة",1
92,20,سوريا,0
93,21,12,0
94,21,15,0
95,21,17,1
96,21,20,0
97,22,"النجم الذي يظهر ليلا",1
98,22,الشمس,0
99,22,الرياح,0
100,22,القمر,0
101,23,"قدرة الله على خلق الإنسان",1
102,23,"وصف الجنة",0
103,23," أهمية العلم",0
104,23,"الدعوة إلى الزراعة",0
105,24,كثيرا,0
106,24,قليلا,1
107,24,كبيرا,0
108,24,صغير,0
109,25,"الركن الأول",1
110,25,"الركن الثاني",0
111,25,"الركن الثالث",0
112,25,"الركن الرابع",0
113,26,"الأسس والمبادئ",0
114,26,الخضوع,0
115,26,"التصديق و الإقرار",1
116,26,الركن,0
117,27,"أداء العبادات بالتكاسل",0
118,27,"أداء العبادات الواجبة في وقتها",1
119,27,"أداء العبادات واجبة في غير وقتها",0
120,27,"ليست من الضروريات",0
121,28,"الصبر عند البلاء",1
122,28,"عدم الصبر عند البلاء",0
123,28,"عدم الشكر عند الرخاء",0
124,28,"إيذاء نفسي",0
125,29,"إعتداء على حقوق الناس",0
126,29," أحترم الناس",1
127,29,"أسرق الناس",0
128,29,"ظلم الناس",0
129,30,"Un verbe",0
130,30,"Un nom",1
131,30,"Un adjectif",0
132,30,"Un adverbe",0
133,31,"Un adverbe",1
134,31,"Une préposition",0
135,31,"Un adjectif",0
136,31,"Un pronom",0
137,32,Des,0
138,32,La,0
139,32,Le,1
140,32,Un,0
141,33,le,0
142,33,un,0
143,33,la,0
144,33,des,1
145,34,ont,0
146,34,a,0
147,34,avons,1
148,34,avez,0
149,35,ont,0
150,35,as,1
151,35,ai,0
152,35,avez,0
153,36,Rapide,1
154,36,Petit,0
155,36,Grand,0
156,36,Faible,0
157,37,Soir,0
158,37,Matin,0
159,37,Midi,0
160,37,Nuit,1
161,38,"10 ans",0
162,38,"11 ans",0
163,38,"12 ans",1
164,38,"13 ans",0
165,39,Oran,1
166,39,Alger,0
167,39,Constantine,0
168,39,Tlemcen,0
169,40,Je,1
170,40,Tu,0
171,40,Il,0
172,40,Elle,0
173,41,Nous,1
174,41,Vous,0
175,41,Ils,0
176,41," Elles",0
177,42,ont,0
178,42,a,0
179,42,as,0
180,42,ai,1
181,43,a,0
182,43,ont,1
183,43,avez,0
184,43,avons,0
185,44,médecin,0
186,44,instituteur,0
187,44,vétérinaire,1
188,44,boulanger,0
189,45,infirmière,0
190,45,institutrice,1
191,45,coiffeuse,0
192,45," pharmacienne",0
193,46,Ma,1
194,46,Mon,0
195,46," Mes",0
196,46,M’,0
197,47,Sa,0
198,47,Ses,0
199,47,Son,1
200,47,Sont,0
201,48," beau",0
202,48,beaux,0
203,48,belles,0
204,48,belle,1
205,49,grand,0
206,49,grande,0
207,49,grands,1
208,49,grandes,0
209,50,me,0
210,50,te,0
211,50,lui,1
212,50,leur,0
213,51,vous,0
214,51,les,0
215,51,nous,1
216,51,leur,0
217,52,iront,0
218,52,iras,0
219,52,ira,0
220,52,irai,1
221,53,fêteras,1
222,53,fêtera,0
223,53,fêterez,0
224,53,fêterons,0
225,54,oreilles,0
226,54,yeux,1
227,54," mains",0
228,54,pieds,0
229,55,yeux,0
230,55,nez,0
231,55,bouche,0
232,55,oreilles,1
233,56,très,1
234,56,trait,0
235,56,tré,0
236,56,traie,0
237,57,assé,0
238,57," assez",1
239,57,assè,0
240,57,assês,0
241,58,"Au cinéma",0
242,58,"Au stade",0
243,58,"Au musée",1
244,58,"Au parc",0
245,59,"Des animaux",0
246,59,"Des tableaux et des statues",1
247,59," Des voitures",0
248,59," Des arbres",0
